Name,Formula
Ehrleite,Ca2ZnBe(PO4)2(PO3OH)(H2O)4
Eifelite,KNa2(MgNa)(Mg3Si12)O30
Eirikite,KNa6Be2(Si15Al3)O39F2
Eitelite,Na2Mg(CO3)2
Ekanite,Ca2ThSi8O20
Ekaterinite,Ca2B4O7Cl2·2H2O
Ekatite,"(Fe3+,Fe2+,Zn)12(AsO3)6(AsO3,SiO3OH)2(OH)6"
Ekebergite,ThFeNb2O8
Ekplexite,"(Nb,Mo)S2·(Mg1-xAlx)(OH)2+x"
Elaliite,(Fe2+8Fe3+)(PO4)O8
Elasmochloite,Na3Cu6BiO4(SO4)5
Elbaite,Na(Al1.5Li1.5)Al6(Si6O18)(BO3)3(OH)3(OH)
Elbrusite,Ca3(U6+0.5Zr1.5)(Fe3+O4)3
Eldfellite,NaFe3+(SO4)2
Eldragónite,Cu6BiSe4(Se2)
Eleomelanite,(K2Pb)Cu4O2(SO4)4
Elgoresyite,(Mg5Si2)O9
Eliopoulosite,V7S8
Eliseevite,Na1.5Li{Ti2O2[Si4O10.5(OH)1.5]}(H2O)2
Elkinstantonite,Fe4(PO4)2O
Ellenbergerite,"Mg6(Mg,Ti,Zr,☐)2(Al,Mg)6Si8O28(OH)10"
Ellinaite,CaCr2O4
Ellingsenite,Na5Ca6Si18O38(OH)13(H2O)6
Elliottite,NaMgAl3(PO4)2F6(H2O)9
Ellisite,Tl3AsS3
Elpasolite,K2NaAlF6
Elpidite,Na2ZrSi6O15(H2O)3
Eltyubyuite,Ca12Fe3+10Si4O32Cl6
Elyite,CuPb4(SO4)O2(OH)4(H2O)
Embreyite,Pb5(CrO4)2(PO4)2(H2O)
Emeleusite,Na2LiFe3+Si6O15
Emilite,Cu10.7Pb10.7Bi21.3S48
Emmerichite,Ba2Ti2Na3Fe3+(Si2O7)2O2F2
Emmonsite,Fe3+2(Te4+O3)3(H2O)2
Emplectite,CuBiS2
Empressite,AgTe
Enargite,Cu3AsS4
Engelhauptite,KCu3(V2O7)(OH)2Cl
Englishite,K3Na2Ca10Al15(OH)7(PO4)21(H2O)26
Enneasartorite,Tl6Pb32As70S140
Enricofrancoite,KNaCaSi4O10
Enstatite,Mg2Si2O6
Eosphorite,Mn2+Al(PO4)(OH)2(H2O)
Ephesite,NaLiAl2(Si2Al2)O10(OH)2
Epididymite,Na2Be2Si6O15(H2O)
Epidote,Ca2(Al2Fe3+)(Si2O7)(SiO4)O(OH)
Epidote-(Sr),CaSr(Al2Fe3+)(Si2O7)(SiO4)O(OH)
Epiebnerite,(NH4)Zn(PO4)
Epifanovite,NaCaCu5(PO4)4[AsO2(OH)2]·7H2O
Epistilbite,Ca3[Si18Al6O48]·16H2O
Epistolite,(Na☐)Nb2Na3Ti(Si2O7)2O2(OH)2(H2O)4
Epsomite,Mg(SO4)(H2O)6·H2O
Erazoite,Cu4SnS6
Ercitite,NaMn3+(PO4)(OH)(H2O)2
Erdite,NaFeS2(H2O)2
Ericaite,Fe2+3B7O13Cl
Ericlaxmanite,Cu4O(AsO4)2
Ericssonite,BaMn2+2Fe3+(Si2O7)O(OH)
Erikapohlite,(☐0.5Cu0.5)CuCaZn2(AsO4)3(H2O)
Erikjonssonite,"(Pb32O21)[(V,Si,Mo,As)O4]4Cl9"
Eringaite,Ca3Sc2(SiO4)3
Eriochalcite,CuCl2(H2O)2
Erionite-Ca,Ca5[Si26Al10O72]·30H2O
Erionite-K,K10[Si26Al10O72]·30H2O
Erionite-Na,Na10[Si26Al10O72]·30H2O
Erlianite,Fe2+4Fe3+2Si6O15(OH)8
Erlichmanite,OsS2
Ermakovite,(NH4)(As2O3)2Br
Ermeloite,Al(PO4)(H2O)
Ernienickelite,NiMn4+3O7(H2O)3
Erniggliite,Tl2SnAs2S6
Ernstburkeite,Mg(CH3SO3)2(H2O)6·6H2O
Ernstite,"(Mn2+,Fe3+)Al(PO4)(OH,O)2"
Ershovite,"K3Na4(Fe,Mn,Ti)2Si8O20(OH,O)4(H2O)4"
Erssonite,CaMg7Fe3+2(OH)18(SO4)2(H2O)6·6H2O
Ertixiite,Na2Si4O9
Ertlite,NaAl3Al6(Si4B2O18)(BO3)3(OH)3O
Erythrite,Co3(AsO4)2(H2O)8
Erythrosiderite,K2Fe3+Cl5(H2O)
Erzwiesite,Ag8Pb12Bi16S40
Escheite,Ca2NaMnTi5[Si12O34]O2(OH)3·12H2O
Esdanaite-(Ce),NaMnCe(PO4)2(H2O)4
Eskebornite,CuFeSe2
Eskimoite,Ag7Pb10Bi15S36
Eskolaite,Cr2O3
Espadaite,Na4Ca3Mg2[AsO3(OH)]2[AsO2(OH)2]10(H2O)6·H2O
Esperanzaite,NaCa2Al2(AsO4)2F4(OH)(H2O)2
Esperite,PbCa2(ZnSiO4)3
Esquireite,BaSi6O13(H2O)7
Esseneite,CaFe3+AlSiO6
Ettringite,Ca6Al2(SO4)3(OH)12(H2O)24·2H2O
Eucairite,CuAgSe
Euchlorine,KNaCu3O(SO4)3
Euchroite,Cu2(AsO4)(OH)(H2O)3
Euclase,BeAlSiO4(OH)
Eucryptite,LiAlSiO4
Eudialyte,"Na15Ca6Fe3Zr3Si(Si25O73)(O,OH,H2O)3(Cl,OH)2"
Eudidymite,Na2Be2Si6O15(H2O)
Eugenite,Ag11Hg2
Eugsterite,Na4Ca(SO4)3·2H2O
Eulytine,Bi4(SiO4)3
Eurekadumpite,"(Cu,Zn)16(Te4+O3)2(AsO4)3Cl(OH)18·7H2O"
Euxenite-(Y),Y(NbTi)O6
Evanichite,Pb6Cr3+(Cr6+O4)2(SO4)(OH)7FCl
Evansite,Al3(PO4)(OH)6·8H2O
Evdokimovite,Tl4(VO)3(SO4)5(H2O)5
Eveite,Mn2+2(AsO4)(OH)
Evenkite,C23H48
Eveslogite,"(Ca,K,Na,Sr,Ba)48(Ti,Nb,Fe,Mn)12(OH)12Si48O144 (OH,F,Cl)14"
Evseevite,Na2Mg(AsO4)F
Ewaldite,BaCa(CO3)2·2.6H2O
Ewingite,Mg8Ca8(UO2)24(CO3)30O4(OH)12(H2O)138
Eylettersite,Th0.75Al3(PO4)2(OH)6
Eyselite,Fe3+Ge4+3O7(OH)
Ezcurrite,Na2B5O7(OH)3·2H2O
Ezochiite,Cu1+(Rh3+Pt4+)S4
Eztlite,Pb2Fe3+3(Te4+O3)3(SO4)O2Cl
Fabianite,CaB3O5(OH)
Fabrièsite,Na3Al3Si3O12·2H2O
Fabritzite,Zn9(SO4)2(OH)12Cl2(H2O)6
Faheyite,Be2Mn2+Fe3+2(PO4)4(H2O)6
Fahleite,CaZn5Fe3+2(AsO4)6·14H2O
Fairbankite,Pb2+12(Te4+O3)11(SO4)
Fairchildite,K2Ca(CO3)2
Fairfieldite,Ca2Mn2+(PO4)2(H2O)2
Faizievite,Li6K2Na(Ca6Na)Ti4(Si6O18)2(Si12O30)F2
Falcondoite,Ni4Si6O15(OH)2(H2O)2·4H2O
Falgarite,K4(VO)3(SO4)5
Falkmanite,Pb3Sb2S6
Falottaite,MnC2O4·3H2O
Falsterite,Ca2MgMn2+2Fe2+2Fe3+2Zn4(PO4)8(OH)4(H2O)14
Famatinite,Cu3SbS4
Fanfaniite,Ca4Mn2+Al4(PO4)6(OH)4(H2O)12
Fangite,Tl3AsS4
Fanguangite,(MoO2)(PO3OH)(H2O)·3H2O
Fantappièite,(Na82.5Ca33K16.5)(Si99Al99O396)(SO4)33·6H2O
Farneseite,Na46Ca10(Si42Al42O168)(SO4)12(H2O)6
Farringtonite,Mg3(PO4)2
Fassinaite,Pb2(CO3)(S2O3)
Faujasite-Ca,"(Ca,Na,Mg)2(Si,Al)12O24·15H2O"
Faujasite-Mg,"(Mg,Na,K,Ca)2(Si,Al)12O24·15H2O"
Faujasite-Na,"(Na,Ca,Mg)2(Si,Al)12O24·15H2O"
Faustite,ZnAl6(PO4)4(OH)8(H2O)4
Favreauite,PbBiCu6O4(SeO3)4(OH)(H2O)
Fayalite,Fe2+2(SiO4)
Fedorite,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2(H2O)3.5"
Fedorovskite,Ca2Mg2B4O7(OH)6
Fedotovite,K2Cu3O(SO4)3
Fehrite,MgCu4(SO4)2(OH)6(H2O)6
Feiite,Fe2+2(Fe2+Ti4+)O5
Feinglosite,Pb2Zn(AsO4)2·H2O
Feitknechtite,Mn3+O(OH)
Feklichevite,"Na11Ca9(Fe3+,Fe2+)2Zr3Nb(Si25O73)(OH,H2O,Cl,O)5"
Felbertalite,Cu2Pb6Bi8S19
Felsőbányaite,Al4(SO4)(OH)10·4H2O
Fenaksite,KNaFe2+Si4O10
Fencooperite,Ba6Fe3+3Si8O23(CO3)2Cl3(H2O)
Fengchengite,Na12☐3Ca6Fe3+3Zr3Si(Si25O73)(H2O)3(OH)2
Fengruiite,[Ag6Sb2S7][Ag9CuS2Te2]
Feodosiyite,Cu11Mg2Cl18(OH)8(H2O)14·2H2O
Ferberite,Fe2+(WO4)
Ferchromide,Cr1.5Fe0.2
Ferdowsiite,Ag8(Sb5As3)S16
Fergusonite-(Ce),CeNbO4·0.3H2O
Fergusonite-(Y),YNbO4
Ferhodsite,"(Fe,Rh,Ni,Ir,Cu,Co,Pt)9-xS8"
Fermiite,Na4(UO2)(SO4)3(H2O)3
Fernandinite,"(Ca,Na,K)0.9(V5+,V4+,Fe2+,Ti)8O20(H2O)4"
Feroxyhyte,Fe3+O(OH)
Ferraioloite,MgMn2+4(Fe2+0.5Al0.5)4Zn4(PO4)8(OH)4(H2O)20
Ferrarisite,Ca5(AsO3OH)2(AsO4)2(H2O)8·H2O
Ferriakasakaite-(Ce),CaCe(Fe3+AlMn2+)(Si2O7)(SiO4)O(OH)
Ferriakasakaite-(La),CaLa(Fe3+AlMn2+)(Si2O7)(SiO4)O(OH)
Ferriallanite-(Ce),CaCe(Fe3+AlFe2+)(Si2O7)(SiO4)O(OH)
Ferriallanite-(La),CaLa(Fe3+AlFe2+)(Si2O7)(SiO4)O(OH)
Ferriandrosite-(Ce),MnCe(Fe3+AlMn2+)(Si2O7)(SiO4)O(OH)
Ferriandrosite-(La),MnLa(Fe3+AlMn2+)(Si2O7)(SiO4)O(OH)
Ferribushmakinite,Pb2Fe3+(PO4)(VO4)(OH)
Ferricerite-(LaCa),(La6Ca3)☐Fe3+(SiO4)3(SiO3OH)4(OH)3
Ferricopiapite,Fe3+0.67Fe3+4(SO4)6(OH)2(H2O)14·6H2O
Ferricoronadite,Pb(Mn4+6Fe3+2)O16
Ferrierite-K,"(K,Na)5(Si31Al5)O72·18H2O"
Ferrierite-Mg,"[Mg2(K,Na)2Ca0.5](Si29Al7)O72·18H2O"
Ferrierite-Na,"(Na,K)5(Si31Al5)O72·18H2O"
Ferrierite-NH4,"(NH4,Mg0.5)5(Al5Si31O72)·22H2O"
Ferri-fluoro-katophorite,Na(NaCa)(Mg4Fe3+)(Si7Al)O22F2
Ferri-fluoro-leakeite,NaNa2(Mg2Fe3+2Li)Si8O22F2
Ferri-ghoseite,☐(NaMn2+)(Mg4Fe3+)Si8O22(OH)2
Ferri-hellandite-(Ce),(Ca3Ce)Ce2Fe3+☐2B4Si4O22(OH)2
Ferrihollandite,Ba(Mn4+6Fe3+2)O16
Ferrihydrite,Fe3+5O7(OH)
Ferri-kaersutite,NaCa2(Mg3Fe3+Ti)(Si6Al2)O22O2
Ferri-katophorite,Na(NaCa)(Mg4Fe3+)(Si7Al)O22(OH)2
Ferri-leakeite,NaNa2(Mg2Fe3+2Li)Si8O22(OH)2
Ferrilotharmeyerite,CaZnFe3+(AsO4)2(OH)(H2O)
Ferrimolybdite,Fe3+2(Mo6+O4)3·7H2O
Ferri-mottanaite-(Ce),Ca4Ce2Fe3+(Be1.5☐0.5)[Si4B4O22]O2
Ferrimuirite,Ba10(Ca2Fe3+2)[Si8O24]O2Cl10
Ferrinatrite,Na3Fe3+(SO4)3(H2O)3
Ferri-obertiite,NaNa2(Mg3Fe3+Ti)Si8O22O2
Ferri-pedrizite,NaLi2(Mg2Fe3+2Li)Si8O22(OH)2
Ferriperbøeite-(Ce),(CaCe3)(Fe3+Al2Fe2+)(Si2O7)(SiO4)3O(OH)2
Ferriperbøeite-(La),(CaLa3)(Fe3+Al2Fe2+)(Si2O7)(SiO4)3O(OH)2
Ferriphoxite,[(NH4)2K(H2O)][Fe3+(HPO4)2(C2O4)]
Ferriprehnite,Ca2Fe3+(AlSi3)O10(OH)2
Ferripyrophyllite,Fe3+Si2O5(OH)
Ferrirockbridgeite,(Fe3+0.67☐0.33)2(Fe3+)3(PO4)3(OH)4(H2O)
Ferrisanidine,K(Fe3+Si3O8)
Ferrisepiolite,"(Fe3+,Fe2+,Mg)4[(Si,Fe3+)6O15](O,OH)2(H2O)2·4H2O"
Ferristrunzite,Fe3+Fe3+2(PO4)2(OH)3(H2O)5
Ferrisurite,Pb2.4Fe3+2Si4O10(CO3)1.7(OH)3·nH2O
Ferrisymplesite,Fe3+3(AsO4)2(OH)3·5H2O
Ferri-taramite,Na(NaCa)(Mg3Fe3+2)(Si6Al2)O22(OH)2
Ferrivauxite,Fe3+Al2(PO4)2(OH)3(H2O)3·2H2O
Ferri-winchite,☐(NaCa)(Mg4Fe3+)Si8O22(OH)2
Ferro-actinolite,☐Ca2(Mg2.5-0.0Fe2+2.5-5.0)Si8O22(OH)2
Ferroåkermanite,Ca2FeSi2O7
Ferroalluaudite,NaFe2+Fe3+2(PO4)3
Ferroaluminoceladonite,KFe2+AlSi4O10(OH)2
Ferro-anthophyllite,☐Fe2+2Fe2+5Si8O22(OH)2
Ferroberaunite,Fe2+Fe3+5(PO4)4(OH)5(H2O)4·2H2O
Ferrobobfergusonite,☐Na2Fe2+5Fe3+Al(PO4)6
Ferro-bosiite,NaFe3+3(Al4Fe2+2)(Si6O18)(BO3)3(OH)3O
Ferrobustamite,CaFe2+Si2O6
Ferrocarpholite,Fe2+Al2Si2O6(OH)4
Ferroceladonite,KFe2+Fe3+Si4O10(OH)2
Ferrochiavennite,"Ca1-2Fe[(Si,Al,Be)5Be2O13(OH)2](H2O)2"
Ferrodimolybdenite,FeMo2S4
Ferro-edenite,NaCa2Fe2+5(Si7Al)O22(OH)2
Ferroefremovite,(NH4)2Fe2+2(SO4)3
Ferroericssonite,BaFe2+2Fe3+(Si2O7)O(OH)
Ferro-ferri-fluoro-leakeite,NaNa2(Fe2+2Fe3+2Li)Si8O22F2
Ferro-ferri-holmquistite,☐Li2(Fe2+3Fe3+2)Si8O22(OH)2
Ferro-ferri-hornblende,☐Ca2(Fe2+4Fe3+)(Si7Al)O22(OH)2
Ferro-ferri-katophorite,Na(NaCa)(Fe2+4Fe3+)(Si7Al)O22(OH)2
Ferro-ferri-nybøite,NaNa2(Fe2+3Fe3+2)(Si7Al)O22(OH)2
Ferro-ferri-obertiite,NaNa2(Fe2+3Fe3+Ti)Si8O22O2
Ferro-ferri-pedrizite,NaLi2(Fe2+2Fe3+2Li)Si8O22(OH)2
Ferrofettelite,[Ag6As2S7][Ag10FeAs2S8]
Ferro-fluoro-edenite,NaCa2Fe2+5(Si7AlO22)F2
Ferro-fluoro-pedrizite,NaLi2(Fe2+2Al2Li)Si8O22F2
Ferro-gedrite,☐Fe2+2(Fe2+3Al2)(Si6Al2)O22(OH)2
Ferro-glaucophane,☐Na2(Fe2+3Al2)Si8O22(OH)2
Ferrohexahydrite,Fe2+(SO4)(H2O)6
Ferrohögbomite-2N 2S,"(Fe,Mg,Zn,Al)3(Al,Ti,Fe)8O15(OH)"
Ferro-holmquistite,☐Li2(Fe2+3Al2)Si8O22(OH)2
Ferro-hornblende,☐Ca2(Fe2+4Al)(Si7Al)O22(OH)2
Ferroindialite,Fe2+2Al3(Si5AlO18)
Ferroinnelite,Ba4Ti2Na(NaFe2+)Ti(Si2O7)2[(SO4)(PO4)]O2[O(OH)]
Ferro-katophorite,Na(NaCa)(Fe2+4Al)(Si7Al)O22(OH)2
Ferrokentbrooksite,"Na15Ca6Fe2+3Zr3Nb(Si25O73)(O,OH,H2O)3(F,Cl)2"
Ferrokësterite,Cu2FeSnS4
Ferrokinoshitalite,BaFe2+3(Si2Al2)O10(OH)2
Ferrolaueite,Fe2+Fe3+2(PO4)2(OH)2(H2O)6·2H2O
Ferromerrillite,Ca9NaFe2+(PO4)7
Ferronickelplatinum,Pt2FeNi
Ferronigerite-2N 1S,"(Al,Fe,Zn)2(Al,Sn)6O11(OH)"
Ferronigerite-6N 6S,"(Al,Fe,Zn)3(Al,Sn,Fe)8O15(OH)"
Ferronordite-(Ce),Na3SrCeFe2+Si6O17
Ferronordite-(La),Na3SrLaFe2+Si6O17
Ferro-papikeite,NaFe2+2(Fe2+3Al2)(Si5Al3)O22(OH)2
Ferro-pargasite,NaCa2(Fe2+4Al)(Si6Al2)O22(OH)2
Ferro-pedrizite,NaLi2(Fe2+2Al2Li)Si8O22(OH)2
Ferroqingheiite,NaNaFe2+(MgAl)(PO4)3
Ferrorhodonite,CaMn3Fe(Si5O15)
Ferro-richterite,Na(NaCa)Fe2+5Si8O22(OH)2
Ferrorockbridgeite,"(Fe2+,Mn2+)2Fe3+3(PO4)3(OH)4(H2O)"
Ferrorosemaryite,☐NaFe2+(Fe3+Al)(PO4)3
Ferrosaponite,"Ca0.3(Fe2+,Mg,Fe3+)3(Si,Al)4O10(OH)2·4H2O"
Ferroselite,FeSe2
Ferrosilite,Fe2+2Si2O6
Ferroskutterudite,FeAs3
Ferrostalderite,CuFe2TlAs2S6
Ferrostrunzite,Fe2+Fe3+2(PO4)2(OH)2(H2O)6
Ferrotaaffeite-2N' 2S,"(Fe2+,Mg,Zn)3Al8BeO16"
Ferrotaaffeite-6N' 3S,BeFe2+2Al6O12
Ferro-taramite,Na(NaCa)(Fe2+3Al2)(Si6Al2)O22(OH)2
Ferrotitanowodginite,Fe2+TiTa2O8
Ferrotochilinite,[FeS]·≈0.85[Fe2+(OH)2]
Ferrotorryweiserite,Rh5Fe10S16
Ferro-tschermakite,☐Ca2(Fe2+3Al2)(Si6Al2)O22(OH)2
Ferrotychite,Na6Fe2+2(CO3)4(SO4)
Ferrovalleriite,"2[(Fe,Cu)S]·1.53[(Fe,Al,Mg)(OH)2]"
Ferrovorontsovite,(Fe5Cu)TlAs4S12
Ferrowodginite,Fe2+Sn4+Ta2O8
Ferrowyllieite,NaNaFe2+(Fe2+Al)(PO4)3
Ferruccite,NaBF4
Fersmanite,"Ca4(Na,Ca)4(Ti,Nb)4(Si2O7)2O8F3"
Fersmite,CaNb2O6
Feruvite,CaFe2+3(Al5Mg)(Si6O18)(BO3)3(OH)3(OH)
Fervanite,Fe3+4V5+4O16·5H2O
Fetiasite,"(Fe2+,Fe3+,Ti4+)3O2As3+2O5"
Fettelite,[Ag6As2S7][Ag10HgAs2S8]
Feynmanite,Na(UO2)(SO4)(OH)(H2O)3.5
Fianelite,Mn2+2V2O7(H2O)2
Fibroferrite,Fe3+(SO4)(OH)(H2O)2·3H2O
Fichtelite,C19H34
Fiedlerite,Pb3Cl4F(OH)(H2O)
Fiemmeite,Cu2(C2O4)(OH)2(H2O)2
Filatovite,"K(Al,Zn)2(As,Si)2O8"
Filipstadite,(Fe3+0.5Sb5+0.5)Mn2+2O4
Fillowite,Na3CaMn2+11(PO4)9
Finchite,Sr(UO2)2(V2O8)(H2O)4·H2O
Finescreekite,[Pb4(OH)4](S2O3)2
Fingerite,Cu11O2(VO4)6
Finnemanite,Pb5(As3+O3)3Cl
Fischesserite,Ag3AuSe2
Fivegite,K4Ca2[AlSi7O17(O2-x (OH)x )][(H2O)2-x (OH)x ]Cl        (x  = 0-2)
Fizélyite,Ag5Pb14Sb21S48
Flaggite,Pb4Cu2+4Te6+2(SO4)2O11(OH)2(H2O)
Flagstaffite,C10H22O3
Flamite,"Ca8-x(Na,K)x(SiO4)4-x(PO4)x"
Fleetite,Cu2RhIrSb2
Fleischerite,Pb3Ge(SO4)2(OH)6(H2O)3
Fleisstalite,Fe2+(SO3)(H2O)3
Fletcherite,CuNi2S4
Flinkite,Mn2+2Mn3+(AsO4)(OH)4
Flinteite,K2ZnCl4
Florencite-(Ce),CeAl3(PO4)2(OH)6
Florencite-(La),LaAl3(PO4)2(OH)6
Florencite-(Nd),NdAl3(PO4)2(OH)6
Florencite-(Sm),SmAl3(PO4)2(OH)6
Florenskyite,FeTiP
Florensovite,Cu(Cr1.5Sb0.5)S4
Flörkeite,(K3Ca2Na)[Al8Si8O32]·12H2O
Fluckite,CaMn2+(AsO3OH)2(H2O)2
Fluellite,Al2(PO4)F2(OH)(H2O)3·4H2O
Fluoborite,Mg3(BO3)F3
Fluocerite-(Ce),CeF3
Fluocerite-(La),LaF3
Fluoralforsite,Ba5(PO4)3F
Fluorannite,KFe2+3(Si3Al)O10F2
Fluorapatite,Ca5(PO4)3F
Fluorapophyllite-(Cs),CsCa4(Si8O20)F(H2O)8
Fluorapophyllite-(K),KCa4(Si8O20)F(H2O)8
Fluorapophyllite-(Na),NaCa4(Si8O20)F(H2O)8
Fluorapophyllite-(NH4),(NH4)Ca4(Si8O20)F(H2O)8
Fluorarrojadite-(BaFe),Na2CaBaFe2+Fe2+13Al(PO4)11(PO3OH)F2
Fluorarrojadite-(BaNa),BaNa4CaFe13Al(PO4)11(PO3OH)F2
Fluorbarytolamprophyllite,(BaK)Ti2Na3Ti(Si2O7)2O2F2
Fluorbritholite-(Ce),"(Ce,Ca)5(SiO4)3F"
Fluorbritholite-(La),Ca2La3(SiO4)3F
Fluorbritholite-(Nd),Ca2Nd3(SiO4)3F
Fluorbritholite-(Y),"(Y,Ca)5(SiO4)3F"
Fluor-buergerite,NaFe3+3Al6(Si6O18)(BO3)3O3F
Fluorcalciobritholite,"(Ca,REE )5(SiO4,PO4)3F"
Fluorcalciomicrolite,"(Ca,Na,☐)2Ta2O6F"
Fluorcalciopyrochlore,"(Ca,Na)2(Nb,Ti)2O6F"
Fluorcalcioroméite,"(Ca,Na)2Sb5+2O6F"
Fluorcanasite,K3Na3Ca5Si12O30F4(H2O)
Fluorcaphite,SrCaCa3(PO4)3F
Fluorcarletonite,KNa4Ca4Si8O18(CO3)4F(H2O)
Fluorcarmoite-(BaNa),Ba☐Na2Na2☐CaMg13Al(PO4)11(PO3OH)F2
Fluorchegemite,Ca7(SiO4)3F2
Fluor-dravite,NaMg3Al6(Si6O18)(BO3)3(OH)3F
Fluor-elbaite,Na(Li1.5Al1.5)Al6(Si6O18)(BO3)3(OH)3F
Fluorellestadite,Ca5(SiO4)1.5(SO4)1.5F
Fluorite,CaF2
Fluorkyuygenite,Ca12Al14O32[(H2O)4F2]
Fluorlamprophyllite,(SrNa)Ti2Na3Ti(Si2O7)2O2F2
Fluor-liddicoatite,Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3F
Fluorluanshiweiite,KLiAl1.5☐0.5(Si3.5Al0.5)O10F2
Fluormacraeite,[(H2O)K]Mn2(Fe2Ti)(PO4)4(OF)(H2O)10·4H2O
Fluormayenite,Ca12Al14O32[☐4F2]
Fluornatrocoulsellite,(Na1.5Ca0.5)(Mg1.5Al0.5)F6F
Fluornatromicrolite,(Na1.5Bi0.5)Ta2O6F
Fluornatropyrochlore,"(Na,Pb,Ca,REE ,U)2Nb2O6F"
Fluoro-cannilloite,CaCa2(Mg4Al)(Si5Al3)O22F2
Fluorocronite,PbF2
Fluoro-edenite,NaCa2Mg5(Si7Al)O22F2
Fluorokinoshitalite,BaMg3Al2Si2O10F2
Fluoro-leakeite,NaNa2(Mg2Al2Li)Si8O22F2
Fluoro-nybøite,NaNa2(Mg3Al2)(Si7Al)O22F2
Fluoro-pargasite,NaCa2(Mg4Al)(Si6Al2)O22F2
Fluoro-pedrizite,NaLi2(Mg2Al2Li)Si8O22F2
Fluorophlogopite,KMg3(Si3Al)O10F2
Fluoro-richterite,Na(NaCa)Mg5Si8O22F2
Fluoro-riebeckite,☐Na2(Fe2+3Fe3+2)Si8O22F2
Fluoro-taramite,Na(NaCa)(Mg3Al2)(Si6Al2)O22F2
Fluorotetraferriphlogopite,KMg3Fe3+Si3O10F2
Fluoro-tremolite,☐Ca2Mg5Si8O22F2
Fluorowardite,NaAl3(PO4)2(OH)2F2(H2O)2
Fluorphosphohedyphane,Ca2Pb3(PO4)3F
Fluorpyromorphite,Pb5(PO4)3F
Fluor-rewitzerite,[(H2O)K]Mn2(Al2Ti)(PO4)4(OF)(H2O)10·4H2O
Fluor-rossmanite,☐(Al2Li)Al6(Si6O18)(BO3)3(OH)3F
Fluor-schorl,NaFe2+3Al6(Si6O18)(BO3)3(OH)3F
Fluorsigaiite,Ca2Sr3(PO4)3F
Fluorstrophite,SrCaSr3(PO4)3F
Fluor-tsilaisite,NaMn2+3Al6(Si6O18)(BO3)3(OH)3F
Fluor-uvite,CaMg3(Al5Mg)(Si6O18)(BO3)3(OH)3F
Fluorvesuvianite,"Ca19(Al,Mg)13(SiO4)10(Si2O7)4O(F,OH)9"
Fluorwavellite,Al3(PO4)2(OH)2F(H2O)5
Flurlite,ZnZn3Fe3+(PO4)3(OH)2(H2O)7∙2H2O
Foggite,CaAl(PO4)(OH)2·H2O
Fogoite-(Y),Ca2Y2Na3Ti(Si2O7)2(OF)F2
Foitite,☐(Fe2+2Al)Al6(Si6O18)(BO3)3(OH)3(OH)
Folvikite,"Sb5+Mn3+(Mg,Mn2+)10O8(BO3)4"
Fontanite,Ca(UO2)3(CO3)2O2(H2O)6
Fontarnauite,"(Na,K)2(Sr,Ca)(SO4)[B5O8(OH)](H2O)2"
Foordite,Sn2+Nb2O6
Footemineite,Ca2Mn2+5Be4(PO4)6(OH)4(H2O)6
Forêtite,"Cu2Al2(AsO4)(OH,O,H2O)6"
Formanite-(Y),YTaO4
Formicaite,Ca(CHOO)2
Fornacite,CuPb2(CrO4)(AsO4)(OH)
Forsterite,Mg2(SiO4)
Foshagite,Ca4(SiO3)3(OH)2
Fougèrite,Fe2+4Fe3+2(OH)12(CO3)·3H2O
Fourmarierite,Pb1-xO3-2x(UO2)4(OH)4+2x·4H2O
Fowlerite,"(Mn,Zn)SiO3"
Fraipontite,"(Zn,Al)3(Si,Al)2O5(OH)4"
Francevillite,Ba(UO2)2(VO4)2(H2O)5
Franciscanite,Mn2+6(V5+☐)(SiO4)2O3(OH)3
Francisite,Cu3Bi(Se4+O3)2O2Cl
Franckeite,Pb21.7Sn9.3Fe4.0Sb8.1S56.9
Francoanellite,K3Al5(PO3OH)6(PO4)2(H2O)12
Françoisite-(Ce),Ce(UO2)3O(OH)(PO4)2·6H2O
Françoisite-(Nd),Nd(UO2)3O(OH)(PO4)2·6H2O
Franconite,NaNb2O5(OH)(H2O)3
Frankamenite,K3Na3Ca5Si12O30F3(OH)(H2O)
Frankdicksonite,BaF2
Frankhawthorneite,Cu2Te6+O4(OH)2
Franklinfurnaceite,Ca2Mn2+3Mn3+Fe3+Zn2Si2O10(OH)8
Franklinite,ZnFe3+2O4
Franklinphilite,"(K,Na)4(Mn2+,Mg,Zn)48(Si,Al)72(O,OH)216·6H2O"
Franksousaite,PbCu(Se6+O4)(OH)2
Fransoletite,Ca3Be2(PO4)2(PO3OH)2(H2O)4
Franzinite,"(Na,K)30Ca10(Si30Al30)O120(SO4)10(H2O)2"
Freboldite,CoSe
Fredrikssonite,Mg2Mn3+O2(BO3)
Freedite,Cu1+Pb8(As3+O3)2O3Cl5
Freieslebenite,AgPbSbS3
Freitalite,C14H10
Fresnoite,Ba2TiO(Si2O7)
Freudenbergite,Na(Ti4+3Fe3+)O8
Friedelite,Mn2+8Si6O15(OH)10
Friedrichbeckeite,K(☐Na)Mg2(Be2Mg)Si12O30
Friedrichite,Cu5Pb5Bi7S18
Friisite,Pb8Al3Si8O27Cl3
